"Standardized_names","provinces","n.provinces","population.total","area.total","density"
"Aloe rivierei","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Aloe rupestris","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Aloe schelpei","SH",1,2422,0.634,3820.1892744479496
"Aloe secundiflora","SH",1,2422,0.634,3820.1892744479496
"Aloe sinkatana","BJ, FJ, GD, SH, YN",5,24923.5,71.3369,349.3773909435369
"Aloe somaliensis","BJ, FJ, JS, SH, TW",5,19090,27.934,683.3965776473115
"Aloe spicata","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Aloe squarrosa","BJ, FJ, GD, HB, SH, YN",6,30676,90.3369,339.5733083601496
"Aloe striata","BJ, FJ, GD, HB, JS, JX, SH, TW",8,41090.5,81.9369,501.48956086940075
"Aloe striatula","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Aloe succotrina","BJ, FJ, TW",3,8418,17.3,486.5895953757225
"Aloe suffulta","GD",1,11751.5,18.0029,652.7559448755478
"Aloe suprafoliata","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Aloe suzannae","SH",1,2422,0.634,3820.1892744479496
"Aloe swynnertonii","SH, TW",2,4761,4.234,1124.4685876239962
"Aloe tenuifolia","SH",1,2422,0.634,3820.1892744479496
"Aloe tenuior","BJ, SH, YN",3,9199.5,41.334,222.5649586296995
"Aloe thraskii","BJ, FJ, SH, TW",4,10840,17.934,604.4384967101595
"Aloe tomentosa","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Aloe trichosantha","SH",1,2422,0.634,3820.1892744479496
"Aloe vacillans","SH",1,2422,0.634,3820.1892744479496
"Aloe vanbalenii","TW, YN",2,7010,42.6,164.55399061032864
"Aloe vaombe","BJ, GD, SH, TW, YN",5,23290,62.9369,370.05318024878886
"Aloe variegata","BJ, FJ, GD, GX, GZ, HB, JS, JX, SH, TW, YN, ZJ",12,60311.5,172.9369,348.7485898035642
"Aloe vera","BJ, CQ, FJ, GD, GX, GZ, HB, HI, JS, JX, SC, SH, SN, TW, YN, ZJ",16,76416.5,254.5369,300.2177680328471
"Aloe versicolor","GD",1,11751.5,18.0029,652.7559448755478
"Aloe viguieri","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Aloe vryheidensis","SH",1,2422,0.634,3820.1892744479496
"Aloe yemenica","SH",1,2422,0.634,3820.1892744479496
"Aloe zebrina","BJ, FJ, GD, HB, SH, TW, YN",7,33015,93.9369,351.45933067835966
"Aloe × spinosissima","BJ, GD, YN",3,18529,58.7029,315.6402835294338
"Aloinopsis albinota","JS",1,8250,10,825
"Aloinopsis luckhoffii","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Aloinopsis malherbei","BJ, TW",2,4445.5,5.3,838.7735849056604
"Aloinopsis orpenii","BJ, TW",2,4445.5,5.3,838.7735849056604
"Aloinopsis rosulata","BJ",1,2106.5,1.7,1239.1176470588236
"Aloinopsis rubrolineata","BJ, FJ, TW",3,8418,17.3,486.5895953757225
"Aloinopsis schooneesii","BJ, FJ, SH, TW",4,10840,17.934,604.4384967101595
"Aloinopsis setifera","BJ, TW",2,4445.5,5.3,838.7735849056604
"Aloinopsis villetii","TW",1,2339,3.6,649.7222222222222
"Alonsoa meridionalis","TW",1,2339,3.6,649.7222222222222
"Aloysia chamaedryfolia","SH",1,2422,0.634,3820.1892744479496
"Aloysia citriodora","SN, TW, ZJ",3,12218,34.6,353.12138728323697
"Alpinia arctiflora","GD",1,11751.5,18.0029,652.7559448755478
"Alpinia argentea","GD, SH",2,14173.5,18.6369,760.5073805192924
"Alpinia caerulea","GD",1,11751.5,18.0029,652.7559448755478
"Alpinia elegans","GD",1,11751.5,18.0029,652.7559448755478
"Alpinia foxworthyi","GD, YN",2,16422.5,57.0029,288.0993774000972
"Alpinia luteocarpa","GD",1,11751.5,18.0029,652.7559448755478
"Alpinia mollis","YN",1,4671,39,119.76923076923077
"Alpinia mutica","GD, JX, YN",3,20919,74.0029,282.67811126320726
"Alpinia novae-pommeraniae","GD",1,11751.5,18.0029,652.7559448755478
"Alpinia nutans","GX",1,4837,24,201.54166666666666
"Alpinia oceanica","GD",1,11751.5,18.0029,652.7559448755478
"Alpinia purpurata","GD, HI, TW, YN",4,19712.5,64.0029,307.99385652837606
"Alsophila articulata","YN",1,4671,39,119.76923076923077
"Alsophila ponapeana","YN",1,4671,39,119.76923076923077
"Alsophila setosa","TW, YN",2,7010,42.6,164.55399061032864
"Alstroemeria aurea","FJ, YN",2,8643.5,51,169.48039215686273
"Alstroemeria hybrida","TW",1,2339,3.6,649.7222222222222
"Alstroemeria ligtu","BJ, TW",2,4445.5,5.3,838.7735849056604
"Alstroemeria pulchella","BJ",1,2106.5,1.7,1239.1176470588236
"Alternanthera aristata","YN",1,4671,39,119.76923076923077
"Alternanthera bettzickiana","BJ, FJ, GD, GX, HI, JX, YN, ZJ",8,38805,125.1029,310.18465599118804
"Alternanthera brasiliana","BJ, FJ, GD, HI, SC, SH, TW, YN",8,36431,127.3369,286.0993160662777
"Alternanthera costaricensis","YN",1,4671,39,119.76923076923077
"Alternanthera littoralis","FJ, GD, HB",3,21476.5,49.0029,438.26997993996275
"Alternanthera paronychioides","FJ, GD, JX, TW, YN, ZJ",6,33249.5,99.6029,333.8206016089893
"Alternanthera philoxeroides","BJ, CQ, FJ, GD, GX, GZ, HB, JS, JX, SC, TW, YN, ZJ",13,69183.5,229.5029,301.4493498774961
"Alternanthera pungens","FJ, GD, JS, YN",4,28645,79.0029,362.58162675041046
"Alternanthera reineckii","GD",1,11751.5,18.0029,652.7559448755478
"Alternanthera sessilis","FJ, GD, GX, HB, HI, JX, TW, YN, ZJ",9,44790,146.0029,306.77472844717465
"Althaea armeniaca","JS",1,8250,10,825
"Althaea cannabina","BJ, JS, YN",3,15027.5,50.7,296.40039447731755
"Althaea officinalis","BJ, GD, GZ, HB, JS, SN, TW, XJ, YN, ZJ",10,50851,306.3029,166.01540501248925
"Alyogyne cuneiformis","ZJ",1,6019,10,601.9
"Alyogyne huegelii","SH, TW",2,4761,4.234,1124.4685876239962
"Alysicarpus ovalifolius","FJ, GD",2,15724,30.0029,524.0826720083725
"Alysicarpus vaginalis","FJ, GD, GX, JX, YN",5,29728.5,110.0029,270.2519660845305
"Alyssum alpestre","JS",1,8250,10,825
"Alyssum argenteum","JS",1,8250,10,825
"Alyssum floribundum","JS",1,8250,10,825
"Alyssum moellendorfianum","JS",1,8250,10,825
"Alyssum montanum","BJ, SH, TW, YN",4,11538.5,44.934,256.78773311968666
"Alyssum murale","JS",1,8250,10,825
"Alyssum sibiricum","FJ",1,3972.5,12,331.0416666666667
"Alyssum wulfenianum","JS",1,8250,10,825
"Amaranthus albus","BJ, JS, XJ",3,12764,177.7,71.82892515475521
"Amaranthus blitoides","HE, JS, SD",3,25513,45,566.9555555555555
"Amaranthus blitum","BJ, CQ, FJ, GZ, HB, JS, JX, TW, YN, ZJ",10,44377.5,138.5,320.41516245487367
"Amaranthus capensis","JS",1,8250,10,825
"Amaranthus caudatus","BJ, FJ, GD, GZ, HB, HL, JS, JX, NM, SC, SN, TW, XJ, YN, ZJ",15,73450.5,548.3029,133.959714603005
"Amaranthus celosioides","YN",1,4671,39,119.76923076923077
"Amaranthus cruentus","BJ, HB, HL, JL, JS, JX, NM, SC, SN, TW, XJ, YN, ZJ",13,56594.5,519.3,108.98228384363567
"Amaranthus dubius","AH, FJ, GD, HA, TW, ZJ",6,39821.5,74.6029,533.7795179543958
"Amaranthus hybridus","BJ, FJ, GD, HB, JS, NM, SC",7,42487,227.7029,186.58963061076517
"Amaranthus hypochondriacus","BJ, FJ, GS, GX, GZ, JL, JS, JX, NM, SC, SN, SX, TW, XZ",14,53161.5,475.3,111.84830633284241
"Amaranthus palmeri","BJ, GD, GX",3,18695,43.7029,427.77481585890183
"Amaranthus powellii","HE, JS, NM, SX, TW",5,23899.5,166.6,143.4543817527011
"Amaranthus retroflexus","BJ, GZ, HB, JS, JX, SH, XJ, YN, ZJ",9,39819,281.334,141.53639446352022
"Amaranthus spinosus","FJ, GD, GX, GZ, HI, JS, JX, SC, YN, ZJ",10,56860,200.4029,283.7284290796191
"Amaranthus standleyanus","BJ",1,2106.5,1.7,1239.1176470588236
"Amaranthus tricolor","AH, BJ, CQ, FJ, GD, GS, GX, GZ, HA, HB, HE, HI, HL, HN, JL, JS, JX, SC, SD, SH, SX, TW, XJ, YN, ZJ",25,126670.5,610.5369,207.47394629218974
"Amaranthus tuberculatus","BJ, LN",2,6423.5,16.7,384.64071856287427
"Amaranthus viridis","AH, BJ, FJ, GD, GX, GZ, HB, HI, JS, JX, TW, YN, ZJ",13,64879,189.7029,342.0032060659062
"Amarine tubergenii","TW",1,2339,3.6,649.7222222222222
"Amaryllis belladonna","TW, YN",2,7010,42.6,164.55399061032864
"Amberboa amberboi","YN",1,4671,39,119.76923076923077
"Amberboa moschata","BJ, FJ, JS, JX, TW, XJ",6,23572,210.3,112.08749405611032
"Ambrosia artemisiifolia","FJ, HB, JX, ZJ",4,20240.5,58,348.9741379310345
"Ambrosia trifida","BJ",1,2106.5,1.7,1239.1176470588236
"Amburana cearensis","GD",1,11751.5,18.0029,652.7559448755478
"Amelanchier alnifolia","BJ, HE, JL, JS, LN, SH, ZJ",7,33024.5,75.334,438.3744391642552
"Amelanchier canadensis","BJ, HE, SH",3,11876.5,21.334,556.6935408268491
"Amelanchier laevis","HE, SH, TW, YN",4,16780,62.234,269.62753478805797
"Amelanchier lamarckii","SH, TW, YN",3,9432,43.234,218.16163204885044
"Amelanchier ovalis","BJ, JS",2,10356.5,11.7,885.1709401709402
"Amelanchier sanguinea","BJ, XJ",2,4514,167.7,26.917113893858083
"Amelanchier × grandiflora","SD, SH",2,12337,16.634,741.6736804136107
"Amesiella monticola","GD, SH, TW",3,16512.5,22.236900000000002,742.5720311734099
"Amesiella philippinensis","BJ, GD, TW",3,16197,23.3029,695.0637045174634
"Amherstia nobilis","FJ, YN",2,8643.5,51,169.48039215686273
"Ammannia coccinea","BJ",1,2106.5,1.7,1239.1176470588236
"Ammannia gracilis","HB",1,5752.5,19,302.7631578947368
"Ammi majus","JS",1,8250,10,825
"Ammi visnaga","TW",1,2339,3.6,649.7222222222222
"Ammobium alatum","BJ, FJ, JS",3,14329,23.7,604.5991561181435
"Ammocharis coranica","BJ, TW",2,4445.5,5.3,838.7735849056604
"Ammocharis longifolia","TW",1,2339,3.6,649.7222222222222
"Amomum biflorum","YN",1,4671,39,119.76923076923077
"Amomum compactum","FJ, GD, HI, YN",4,21346,72.4029,294.8224449573152
"Amomum longipes","YN",1,4671,39,119.76923076923077
"Amomum macroglossa","GD",1,11751.5,18.0029,652.7559448755478
"Amomum oliganthum","YN",1,4671,39,119.76923076923077
"Amomum sceletescens","YN",1,4671,39,119.76923076923077
"Amomyrtus luma","TW",1,2339,3.6,649.7222222222222
"Amorpha californica","BJ, JS, ZJ",3,16375.5,21.7,754.63133640553
"Amorpha canescens","BJ, JS, LN, ZJ",4,20692.5,36.7,563.8283378746594
"Amorpha elatior","BJ",1,2106.5,1.7,1239.1176470588236
"Amorpha fruticosa","BJ, FJ, GD, GS, GX, GZ, HB, HL, HN, JL, JS, JX, LN, NM, SC, SN, TW, XJ, ZJ",19,89635,631.3029,141.98414105178352
"Amorpha glabra","BJ, GD",2,13858,19.7029,703.3482380766284
"Amorpha herbacea","SH",1,2422,0.634,3820.1892744479496
"Amorpha nana","BJ",1,2106.5,1.7,1239.1176470588236
"Amorpha paniculata","SH",1,2422,0.634,3820.1892744479496
"Amorphophallus albispathus","FJ, YN",2,8643.5,51,169.48039215686273
"Amorphophallus aphyllus","YN",1,4671,39,119.76923076923077
"Amorphophallus titanum","BJ",1,2106.5,1.7,1239.1176470588236
"Amorphophallus verticillatus","YN",1,4671,39,119.76923076923077
"Ampelozizyphus amazonicus","YN",1,4671,39,119.76923076923077
"Ampelozizyphus guaquirensis","YN",1,4671,39,119.76923076923077
"Amphilophium buccinatorium","TW",1,2339,3.6,649.7222222222222
"Amphilophium cynanchoides","YN",1,4671,39,119.76923076923077
"Amphineuron immersum","TW",1,2339,3.6,649.7222222222222
"Amsonia hubrichtii","SH, TW",2,4761,4.234,1124.4685876239962
"Amsonia illustris","SH",1,2422,0.634,3820.1892744479496
"Amsonia tabernaemontana","BJ, JS, SH, YN, ZJ",5,23468.5,61.334,382.6344278866534
"Amydrium humile","GD, JX, YN",3,20919,74.0029,282.67811126320726
"Anacampseros albidiflora","BJ",1,2106.5,1.7,1239.1176470588236
"Anacampseros albissima","TW",1,2339,3.6,649.7222222222222
"Anacampseros alstonii","FJ, SH, TW",3,8733.5,16.234,537.9758531477146
"Anacampseros arachnoides","BJ, FJ, GD, JS, JX",5,30577,58.7029,520.8771627977493
"Anacampseros coahuilensis","BJ",1,2106.5,1.7,1239.1176470588236
"Anacampseros filamentosa","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Anacampseros herreana","TW",1,2339,3.6,649.7222222222222
"Anacampseros kurtzii","BJ",1,2106.5,1.7,1239.1176470588236
"Anacampseros namaquensis","YN",1,4671,39,119.76923076923077
"Anacampseros papyracea","BJ, FJ, SH",3,8501,14.334,593.0654388167992
"Anacampseros quinaria","FJ, TW",2,6311.5,15.6,404.5833333333333
"Anacampseros recurvata subsp. buderiana","TW",1,2339,3.6,649.7222222222222
"Anacampseros retusa","BJ, FJ",2,6079,13.7,443.7226277372263
"Anacampseros rhodesica","FJ",1,3972.5,12,331.0416666666667
"Anacampseros rufescens","BJ, FJ, GD, JX, SH, TW, YN, ZJ",8,37778,101.9369,370.6018134748065
"Anacampseros subnuda","BJ",1,2106.5,1.7,1239.1176470588236
"Anacampseros telephiastrum","BJ, GD, GX, JX",4,23191.5,60.7029,382.0492925379183
"Anacampseros tomentosa","SH",1,2422,0.634,3820.1892744479496
"Anacampseros ustulata","BJ",1,2106.5,1.7,1239.1176470588236
"Anacampseros vulcanensis","BJ",1,2106.5,1.7,1239.1176470588236
"Anacampseros wischkonii","BJ",1,2106.5,1.7,1239.1176470588236
"Anacamptis morio","TW",1,2339,3.6,649.7222222222222
"Anacardium occidentale","FJ, GD, GX, HI, JS, JX, SC, SH, TW, YN, ZJ",11,57927,186.6369,310.37270764784455
"Anadenanthera colubrina","FJ, GD",2,15724,30.0029,524.0826720083725
"Anadenanthera colubrina var. cebil","GD",1,11751.5,18.0029,652.7559448755478
"Anadenanthera peregrina","GD",1,11751.5,18.0029,652.7559448755478
"Anagallis arvensis","FJ, SH, TW, ZJ",4,14752.5,26.234,562.342761302127
"Anagallis monelli","YN",1,4671,39,119.76923076923077
"Ananas ananassoides","FJ, YN",2,8643.5,51,169.48039215686273
"Ananas bracteatus","FJ, GD, JX, TW, YN",5,27230.5,89.6029,303.90199424348987
"Ananas comosus","BJ, CQ, FJ, GD, GX, HB, HI, JX, SC, SH, SN, TW, YN, ZJ",14,64472.5,226.5369,284.60043374832094
"Ananas parguazensis","BJ, TW",2,4445.5,5.3,838.7735849056604
"Anaphalioides bellidioides","BJ",1,2106.5,1.7,1239.1176470588236
"Anathallis acuminata","TW",1,2339,3.6,649.7222222222222
"Anathallis adenochila","TW",1,2339,3.6,649.7222222222222
"Anathallis aristulata","TW",1,2339,3.6,649.7222222222222
"Anathallis dryadum","TW",1,2339,3.6,649.7222222222222
"Anathallis linearifolia","TW",1,2339,3.6,649.7222222222222
"Anathallis microgemma","TW",1,2339,3.6,649.7222222222222
"Anathallis piratiningana","TW",1,2339,3.6,649.7222222222222
"Anathallis rubens","TW",1,2339,3.6,649.7222222222222
"Anathallis sclerophylla","TW",1,2339,3.6,649.7222222222222
"Anathallis seriata","TW",1,2339,3.6,649.7222222222222
"Anathallis sertularioides","BJ, TW",2,4445.5,5.3,838.7735849056604
"Anaxagorea javanica","YN",1,4671,39,119.76923076923077
"Anchomanes abbreviatus","BJ",1,2106.5,1.7,1239.1176470588236
"Anchusa azurea","BJ, JS, JX",3,14853,28.7,517.5261324041812
"Anchusa capensis","FJ, YN",2,8643.5,51,169.48039215686273
"Anchusa officinalis","BJ, JS",2,10356.5,11.7,885.1709401709402
"Ancistrochilus rothschildianus","TW",1,2339,3.6,649.7222222222222
"Andira fraxinifolia","YN",1,4671,39,119.76923076923077
"Andira surinamensis","GD",1,11751.5,18.0029,652.7559448755478
"Androcymbium cuspidatum","JS",1,8250,10,825
"Andrographis paniculata","BJ, FJ, GD, GX, HB, SC, SN, TW, YN, ZJ",10,53526.5,197.3029,271.29099470915025
"Androlepis skinneri","TW, YN",2,7010,42.6,164.55399061032864
"Andropogon gayanus","GD",1,11751.5,18.0029,652.7559448755478
"Andropogon leucostachyus","BJ",1,2106.5,1.7,1239.1176470588236
"Androsace armeniaca","JS",1,8250,10,825
"Androsace villosa","BJ",1,2106.5,1.7,1239.1176470588236
"Andryala crithmifolia","YN",1,4671,39,119.76923076923077
"Andryala integrifolia","JS",1,8250,10,825
"Aneilema aequinoctiale","GD",1,11751.5,18.0029,652.7559448755478
"Anemia mexicana","YN",1,4671,39,119.76923076923077
"Anemia phyllitidis","YN",1,4671,39,119.76923076923077
"Anemia rotundifolia","YN",1,4671,39,119.76923076923077
"Anemone alpina","BJ",1,2106.5,1.7,1239.1176470588236
"Anemone biflora var. petiolulosa","JS",1,8250,10,825
"Anemone blanda","TW",1,2339,3.6,649.7222222222222
"Anemone canadensis","BJ",1,2106.5,1.7,1239.1176470588236
"Anemone coronaria","BJ, FJ, TW",3,8418,17.3,486.5895953757225
"Anemone cylindrica","BJ",1,2106.5,1.7,1239.1176470588236
"Anemone halleri","BJ, YN",2,6777.5,40.7,166.52334152334151
"Anemone hortensis","JS",1,8250,10,825
"Anemone mexicana","JS",1,8250,10,825
"Anemone montana","JS",1,8250,10,825
"Anemone palmata","JS",1,8250,10,825
"Anemone virginiana","BJ, ZJ",2,8125.5,11.7,694.4871794871796
"Anemonopsis macrophylla","BJ, TW",2,4445.5,5.3,838.7735849056604
"Anemopaegma chamberlaynii","TW",1,2339,3.6,649.7222222222222
"Anethum graveolens","BJ, FJ, GX, JS, JX, SH, SN, TW, XJ",9,34691,255.934,135.54666437440903
"Angelica archangelica","GX, SN, TW, YN",4,15707,87.6,179.30365296803654
"Angelica keiskei","TW",1,2339,3.6,649.7222222222222
"Angelica pubescens","JX, TW, ZJ",3,12854.5,30.6,420.08169934640523
"Angelonia angustifolia","GD, HB, JX, TW",4,24339.5,57.6029,422.5394901992782
"Angelonia gardneri","FJ, GD, YN",3,20395,69.0029,295.5672877516742
"Angelonia salicariifolia","FJ, GD, GX, HB, TW, YN",6,33323.5,115.6029,288.25833953992503
"Angophora costata","TW",1,2339,3.6,649.7222222222222
"Angraecopsis amaniensis","BJ",1,2106.5,1.7,1239.1176470588236
"Angraecopsis trifurca","BJ",1,2106.5,1.7,1239.1176470588236
"Angraecum birrimense","BJ",1,2106.5,1.7,1239.1176470588236
"Angraecum distichum","BJ, GD, TW",3,16197,23.3029,695.0637045174634
"Angraecum eburneum","BJ, GD, TW",3,16197,23.3029,695.0637045174634
"Angraecum eburneum subsp. superbum","BJ",1,2106.5,1.7,1239.1176470588236
"Angraecum elephantinum","SH, TW",2,4761,4.234,1124.4685876239962
"Angraecum florulentum","BJ, TW",2,4445.5,5.3,838.7735849056604
"Angraecum leonis","BJ, GD, SH, TW",4,18619,23.9369,777.8367290668382
"Angraecum sesquipedale","BJ, GD, SH, TW",4,18619,23.9369,777.8367290668382
"Anguloa clowesii","TW",1,2339,3.6,649.7222222222222
"Anguloa uniflora","BJ, TW",2,4445.5,5.3,838.7735849056604
"Anguloa virginalis","SH, TW",2,4761,4.234,1124.4685876239962
"Anguloa × ruckeri","BJ",1,2106.5,1.7,1239.1176470588236
"Anigozanthos flavidus","BJ, FJ, GD, GX, JX, TW",6,29503,76.3029,386.6563394051865
"Anigozanthos manglesii","FJ, GD, GX, JX, TW, YN",6,32067.5,113.6029,282.27712496776047
"Anigozanthos pulcherrimus","TW",1,2339,3.6,649.7222222222222
"Anigozanthos viridis","JS",1,8250,10,825
"Anisoptera costata","YN",1,4671,39,119.76923076923077
"Anisoptera laevis","YN",1,4671,39,119.76923076923077
"Annona cherimola","FJ, YN",2,8643.5,51,169.48039215686273
"Annona glabra","FJ, GD, GX, HI, JS, JX, TW, YN, ZJ",9,47287.5,137.0029,345.1569273351148
"Annona macroprophyllata","HI, TW",2,3290,7,470
"Annona montana","FJ, GD, HI, TW",4,19014,37.0029,513.8516170354216
"Annona muricata","BJ, FJ, GD, HI, JS, JX, TW, YN, ZJ",9,44557,114.7029,388.45574087490377
"Annona reticulata","FJ, GD, GX, HI, JS, TW, YN",7,36772,110.0029,334.282096199282
"Annona squamosa","FJ, GD, GX, HB, HI, JS, JX, SC, SH, YN, ZJ",11,61340.5,202.0369,303.61038008403415
"Annona × atemoya","FJ",1,3972.5,12,331.0416666666667
"Anoda cristata","JS, ZJ",2,14269,20,713.45
"Anogeissus leiocarpa","FJ, GD, HI",3,16675,33.4029,499.20815258555393
"Anopterus glandulosus","TW",1,2339,3.6,649.7222222222222
"Anredera cordifolia","BJ, CQ, FJ, GD, GX, GZ, HB, SC, TW, YN, ZJ",11,56437,202.5029,278.6972433481199
"Anredera vesicaria","FJ, GD",2,15724,30.0029,524.0826720083725
"Ansellia africana","BJ, TW",2,4445.5,5.3,838.7735849056604
"Antegibbaeum fissoides","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Antennaria alpina","BJ",1,2106.5,1.7,1239.1176470588236
"Anthemis arvensis","BJ, FJ, JS",3,14329,23.7,604.5991561181435
"Anthemis cotula","BJ, FJ, JS",3,14329,23.7,604.5991561181435
"Anthemis cretica subsp. carpatica","BJ",1,2106.5,1.7,1239.1176470588236
"Anthemis ruthenica","JS",1,8250,10,825
"Anthocleista vogelii","GD",1,11751.5,18.0029,652.7559448755478
"Anthoxanthum odoratum","JS",1,8250,10,825
"Anthriscus cerefolium","FJ, TW",2,6311.5,15.6,404.5833333333333
"Anthurium andraeanum","BJ, FJ, GD, HB, HI, JX, SC, SH, TW, YN, ZJ",11,52699,173.33690000000001,304.02643637909756
"Anthurium bakeri","FJ",1,3972.5,12,331.0416666666667
"Anthurium balaoanum","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium barclayanum","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium bonplandii","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium bradeanum","YN",1,4671,39,119.76923076923077
"Anthurium clarinervium","FJ, GD",2,15724,30.0029,524.0826720083725
"Anthurium crassinervium","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium crenatum","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium croatii","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium crystallinum","FJ, GD, JX, SH, TW, YN",6,29652.5,90.2369,328.6072549034818
"Anthurium ernestii","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium fendleri","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium fornicifolium","YN",1,4671,39,119.76923076923077
"Anthurium galactospadix","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium harrisii","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium hookeri","TW",1,2339,3.6,649.7222222222222
"Anthurium jenmanii","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium lilacinum","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium linguifolium","YN",1,4671,39,119.76923076923077
"Anthurium llewellynii","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium longipeltatum","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium magnificum","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium obtusatum","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium obtusum","TW, YN",2,7010,42.6,164.55399061032864
"Anthurium oxyphyllum","GD, JX, TW, YN",4,23258,77.6029,299.7052945186327
"Anthurium paraguayense","FJ, GD, JX, TW",4,22559.5,50.6029,445.8143703226495
"Anthurium parasiticum","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium pedatoradiatum","FJ, GD, JX, TW, YN",5,27230.5,89.6029,303.90199424348987
"Anthurium pentaphyllum","FJ, GD, JX, TW, ZJ",5,28578.5,60.6029,471.5698423672795
"Anthurium philodendroides","YN",1,4671,39,119.76923076923077
"Anthurium plowmanii","TW",1,2339,3.6,649.7222222222222
"Anthurium podophyllum","TW",1,2339,3.6,649.7222222222222
"Anthurium sagittale","TW, YN",2,7010,42.6,164.55399061032864
"Anthurium salvadorense","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium salvinii","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium scandens","TW, YN",2,7010,42.6,164.55399061032864
"Anthurium scherzerianum","BJ, FJ, GD, JX, TW, YN, ZJ",7,35356,101.3029,349.012713357663
"Anthurium schlechtendalii","BJ",1,2106.5,1.7,1239.1176470588236
"Anthurium seleri","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium sellowianum","TW",1,2339,3.6,649.7222222222222
"Anthurium superbum","GD",1,11751.5,18.0029,652.7559448755478
"Anthurium trilobum","GD, JX",2,16248,35.0029,464.1901099623175
"Anthurium upalaense","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium veitchii","GD, TW",2,14090.5,21.6029,652.25039230844
"Anthurium ventanasense","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Anthurium verapazense","GD, JX, TW, YN",4,23258,77.6029,299.7052945186327
"Anthurium wagenerianum","GD, JX, TW, YN",4,23258,77.6029,299.7052945186327
"Anthurium warocqueanum","BJ, GD, SH, TW",4,18619,23.9369,777.8367290668382
"Anthurium warscewiczii","YN",1,4671,39,119.76923076923077
"Anthurium watermaliense","YN",1,4671,39,119.76923076923077
"Anthurium wendlingeri","SH",1,2422,0.634,3820.1892744479496
"Anthurium × kellerianum","YN",1,4671,39,119.76923076923077
"Anthyllis barba-jovis","SH",1,2422,0.634,3820.1892744479496
"Anthyllis vulneraria","JS, YN",2,12921,49,263.6938775510204
"Anticlea elegans","BJ",1,2106.5,1.7,1239.1176470588236
"Antigonon leptopus","FJ, GD, GZ, HI, JS, JX, SC, TW, YN",9,48343,170.0029,284.3657372903638
"Antimima alborubra","SH",1,2422,0.634,3820.1892744479496
"Antimima leipoldtii","BJ",1,2106.5,1.7,1239.1176470588236
"Antirrhinum majus","BJ, FJ, GD, GX, HB, HI, HL, JS, JX, SC, SH, SN, TW, XJ, YN, ZJ",16,75530,440.3369,171.5277552256011
"Antirrhinum majus subsp. tortuosum","JS",1,8250,10,825
"Anubias barteri","BJ, TW",2,4445.5,5.3,838.7735849056604
"Anubias barteri var. nana","GD, HB, JX",3,22000.5,54.0029,407.3947880576784
"Aphelandra aurantiaca","TW",1,2339,3.6,649.7222222222222
"Aphelandra schiedeana","BJ",1,2106.5,1.7,1239.1176470588236
"Aphelandra sinclairiana","TW",1,2339,3.6,649.7222222222222
"Aphelandra squarrosa","FJ, GD, HI, JX",4,21171.5,50.4029,420.0452751726587
"Apios americana","JS, SH",2,10672,10.634,1003.5734436712431
"Apium graveolens","AH, BJ, FJ, GD, GS, GX, GZ, HA, HB, HE, HI, HL, HN, JL, JS, JX, LN, NM, NX, QH, SC, SD, SH, SN, SX, TJ, TW, XJ, YN, ZJ",30,136836.5,836.1369,163.65322472910836
"Apium graveolens var. rapaceum","BJ, HB, TW",3,10198,24.3,419.6707818930041
"Apocynum androsaemifolium","YN",1,4671,39,119.76923076923077
"Apocynum cannabinum","YN",1,4671,39,119.76923076923077
"Aponogeton ulvaceus","GD, HB",2,17504,37.0029,473.04400465909436
"Aponogeton undulatus","HB",1,5752.5,19,302.7631578947368
