"variable","levels","Africa","Asia_Temperate","Asia_Tropical","Australasia","Europe","Northern_America","Pacific","Southern_America"
"Life_form_new",1,0.114285714285714,0.12,0.272727272727273,0.1,0,0.264705882352941,NA,0.354838709677419
"Life_form_new",2,0.0126182965299685,0.0193548387096774,0.0182186234817814,0,0.0186046511627907,0.0398818316100443,0,0.0239471511147812
"Life_form_new",3,0.0134854771784232,0.0201342281879195,0.0392609699769053,0.0172117039586919,0.0121951219512195,0.0227488151658768,0,0.0327533265097236
"ali_new_status",0,0.00663129973474801,0.0176211453744493,0.0099160945842868,0.0119205298013245,0.0135135135135135,0.0264008620689655,0,0.0212411495210329
"ali_new_status",1,0.0688073394495413,0.0740740740740741,0.283333333333333,0.0952380952380952,0.0476190476190476,0.155080213903743,0,0.202614379084967
"prop_type",1,0.0184331797235023,0.0454545454545455,0.0875,0.0142857142857143,0,0.071969696969697,0,0.0760869565217391
"prop_type",2,0.0078740157480315,0.0175438596491228,0.0211267605633803,0,0.111111111111111,0.0287769784172662,0,0.05
"prop_type",3,0.0154888673765731,0.0217391304347826,0.044,0.0402684563758389,0.0176211453744493,0.0350734094616639,0,0.03
"wcup_eco_use_status",0,0.00327439423706614,0.003690036900369,0.00892857142857143,0.00476190476190476,0,0.00884086444007859,0,0.00719026548672566
"wcup_eco_use_status",1,0.0262329485834208,0.0428571428571429,0.0391822827938671,0.0252808988764045,0.0346820809248555,0.0673170731707317,0,0.0924932975871314
